 LZ-Q-511,LZ-Q-512,LZ-Q-513,LZ-Q-517,LZ-Q-520,LZ-Q-521
24.9879,24.9976,25.0149,25.0171,24.9832,24.9788
24.9892,24.9917,25.0127,25.0127,24.9889,24.9876
24.9959,24.9945,25.0122,24.9683,24.9976,24.9936
24.9886,24.9917,25.0007,24.9711,25.0037,25.0061
24.9874,25.0009,25.0065,24.9819,25.0089,24.9945
24.9967,24.9916,25.0115,25.0002,25.006,25.0084
24.9963,24.9921,25.0031,25.0153,25.0174,25.0201
24.9946,24.9938,25.0052,24.9949,25.0052,25.0132
24.9873,24.9944,25.0081,25.0136,25.0091,25.0182
24.9878,24.9936,25.0088,24.9978,25.001,25.0137
24.9912,24.9929,25.0007,24.987,25.0143,25.0116
24.9988,24.9927,25.0013,24.989,25.014,25.0121
24.9928,24.9992,24.9992,24.996,25.0051,25.0114
24.9896,24.9913,24.9991,24.9962,25.0122,25.0094
24.9955,24.9912,25.0026,25.0043,25.0165,25.0123
24.9951,25.0005,24.9987,25.0008,25.0119,25.0088
24.9867,24.9913,25.0061,24.9942,25.0231,25.0068
24.9919,24.9911,25.0027,24.9947,25.0068,25.0059
24.9928,24.9929,25.0085,24.9973,25.0076,25.0088
24.9907,24.998,25.0045,25.0104,25.0094,25.0111
24.9887,24.9907,25.0102,25.0031,25.0157,25.0108
24.9871,24.9952,25.0035,24.9958,25.023,25.0087
24.9906,24.9967,24.9966,25.0008,25.0191,25.0097
24.9925,24.9909,25.0015,25.0058,25.0099,25.0098
24.9898,24.9971,25.0064,24.9913,25.0182,25.0143
24.9875,24.9974,25.0095,24.9933,25.02,25.0075
24.9911,24.9973,25.008,25.0036,25.0211,25.0118
24.9874,25.0004,25.0062,25.011,25.02,25.0074
24.9872,24.9982,25.0055,24.9913,25.0256,25.0088
24.9927,24.9962,25.0095,24.9996,25.0244,25.0082
