배치,분말량(g),충전목표(mg),이론수량(v),캡핑후 양품(v),충전수율(%),
SGD18001,68,13.6,5000,718,14.4,
SGD18002,66,13.6,4853,4221,87.0,
SGD18003,69,13.7,5036,3757,74.6,
SGD18004,73,13.7,5328,3777,70.9,
SGD18005,68,12.7,5354,3264,61.0,
SGD18006,66,12.7,5197,3579,68.9,
SGD18007,68,12.7,5354,3171,59.2,
SGD18008,51,12.7,4016,1686,42.0,
SGD18009,68,13.5,5037,3673,72.9,
SGD18010,68,13.5,5037,3576,71.0,
SGD18011,68,13.7,4964,3968,79.9,
SGD18012,56,13.5,4148,3156,76.1,
SGD18013,68,13.4,5075,3491,68.8,
SGD18014,67,13.4,5000,4049,81.0,
SGD18015,67,13.4,5000,4079,81.6,
SGD18016,70,13.4,5224,4270,81.7,
SGD18017,69,13.9,4964,4199,84.6,
SGD18018,67,13.9,4820,3925,81.4,
SGD18019,67,13.1,5115,3869,75.6,
SGD18020,64,13.1,4885,3793,77.6,
SGD19001,65,13.9,4676,3618,77.4,
SGD19002,67,13.9,4820,3361,69.7,
SGD19003,65,13.9,4676,4060,86.8,
SGD19004,58,13.9,4173,3187,76.4,
SGD19005,66,13.9,4748,3301,69.5,
SGD19006,66,13.9,4748,3772,79.4,
SGD19007,66,14.1,4681,3911,83.6,
SGD19008,65,13.9,4676,3831,81.9,
SGD19009,67,13.9,4820,3664,76.0,
SGD19010,68,14,4857,4054,83.5,
SGD19011,68,14,4857,4015,82.7,
SGD19012,64,13.9,4604,3442,74.8,
SGD20001,65,14.3,4545,3673,80.8,
SGD20002,65,14.3,4545,3734,82.1,
SGD20003,65,14.3,4545,3771,83.0,
SGD20004,65,14.4,4514,3684,81.6,
SGD20005,66,14.4,4583,4049,88.3,
SGD20006,66,14.3,4615,3659,79.3,
SGD20007,65,14.3,4545,3965,87.2,
SGD20008,65,14.4,4514,3886,86.1,
SGD20009,66,13.9,4748,3595,75.7,
SGD20010,66,13.9,4748,3432,72.3,
SGD20011,66,13.9,4748,3747,78.9,
SGD20012,65,13.9,4676,3697,79.1,
SGD20013,68,13.9,4892,4069,83.2,
SGD20014,66,14,4714,3670,77.8,
SGD20015,66,14,4714,3084,65.4,
SGD20016,66,13.9,4748,3452,72.7,
SGD21001,67,13.8,4855,3485,71.8,
SGD21002,65,13.8,4710,3380,71.8,
SGD21003,65,13.9,4676,3371,72.1,
SGD21004,65,13.8,4710,3658,77.7,
SGD21005,64,14.2,4507,3779,83.8,
SGD21006,65,14.2,4577,3957,86.4,
SGD21007,65,14.3,4545,3821,84.1,
SGD21008,64,14.3,4476,3556,79.5,
SGD21009,70,14.2,4930,3791,76.9,
SGD21010,70,14.2,4930,3351,68.0,
SGD21011,70,14.2,4930,3464,70.3,
SGD21012,70,14.1,4965,2942,59.3,
